vid_num 131.0
Reading engine from file slowfast_sim.trt
[0.9607288  0.03927122]
[0.98407245 0.01592756]
[0.98684293 0.01315709]
[0.95904994 0.04095002]
[0.9818752  0.01812481]
[0.9891803  0.01081965]
[0.9623904  0.03760959]
[0.98604953 0.01395052]
[0.9909928  0.00900722]
[0.9606958 0.0393042]
[0.98864067 0.0113593 ]
[0.9937786  0.00622136]
[0.96986693 0.03013306]
[0.9896879  0.01031212]
[0.99113035 0.00886966]
[0.99700075 0.00299921]
[0.98949677 0.01050321]
[0.99535286 0.0046471 ]
[0.9977964  0.00220357]
[0.998731   0.00126902]
[0.9956345  0.00436546]
[9.9986213e-01 1.3784099e-04]
[9.9904704e-01 9.5292670e-04]
[0.9927101  0.00728982]
[9.9985933e-01 1.4060060e-04]
[9.9978524e-01 2.1468087e-04]
[0.99704295 0.00295701]
[9.9992335e-01 7.6726814e-05]
[9.9978060e-01 2.1934796e-04]
[0.9960073 0.0039927]
label: not_wave, preds: not_wave(29.653013050556183)
[0.98923945 0.01076058]
[0.9883233  0.01167674]
[0.9958601  0.00413998]
[0.99864185 0.00135815]
[9.991565e-01 8.434401e-04]
[0.99664026 0.00335973]
[0.9969177 0.0030822]
[9.995135e-01 4.864710e-04]
[9.9932665e-01 6.7333755e-04]
[0.9987731  0.00122689]
[9.9953812e-01 4.6189706e-04]
[9.996616e-01 3.383488e-04]
[0.99871063 0.00128929]
[9.9961644e-01 3.8352658e-04]
[9.9949193e-01 5.0800806e-04]
[0.99893856 0.00106141]
[9.9963319e-01 3.6674493e-04]
[9.9989063e-01 1.0940423e-04]
[9.9908465e-01 9.1532688e-04]
[9.9980837e-01 1.9159506e-04]
[9.9979961e-01 2.0040118e-04]
[0.99818957 0.00181037]
[9.995510e-01 4.490353e-04]
[9.9977577e-01 2.2418480e-04]
[0.9990001  0.00099995]
[9.9972975e-01 2.7019702e-04]
[9.9972880e-01 2.7116126e-04]
[0.9984652 0.0015348]
[9.998207e-01 1.793174e-04]
[9.9956536e-01 4.3460442e-04]
label: not_wave, preds: not_wave(29.950392365455627)
[0.914742   0.08525806]
[0.87926    0.12073997]
[0.88882643 0.11117356]
[0.92156196 0.07843807]
[0.9184402  0.08155975]
[0.85221237 0.14778765]
[0.8785113  0.12148873]
[0.89886576 0.10113427]
[0.8919707  0.10802934]
[0.82883346 0.17116657]
[0.8896367  0.11036327]
[0.81807697 0.18192309]
[0.84716463 0.15283543]
[0.87429726 0.12570275]
[0.8135484  0.18645158]
[0.8649837  0.13501632]
[0.91287726 0.08712274]
[0.7910551  0.20894492]
[0.85805255 0.14194743]
[0.8811664  0.11883359]
[0.73546267 0.2645374 ]
[0.8198955  0.18010443]
[0.8338818  0.16611823]
[0.766797   0.23320293]
[0.8710906  0.12890941]
[0.88267076 0.11732926]
[0.8288988  0.17110118]
[0.87035865 0.12964137]
[0.84951514 0.15048489]
[0.8074435  0.19255649]
label: not_wave, preds: not_wave(25.690097510814667)
[0.8816648  0.11833519]
[0.9453325  0.05466741]
[0.9852699  0.01473011]
[0.8647724  0.13522756]
[0.9470361  0.05296388]
[0.9649427  0.03505733]
[0.8341827  0.16581734]
[0.95324314 0.04675689]
[0.97138506 0.02861492]
[0.80761325 0.19238676]
[0.93934345 0.06065651]
[0.94386554 0.0561345 ]
[0.8722293  0.12777069]
[0.94771624 0.05228373]
[0.94659746 0.05340251]
[0.8765158  0.12348419]
[0.9335951  0.06640486]
[0.94389546 0.05610451]
[0.8770012  0.12299878]
[0.91954035 0.08045962]
[0.94332474 0.05667526]
[0.85712373 0.14287627]
[0.9357508 0.0642492]
[0.9299699  0.07003009]
[0.82744896 0.17255107]
[0.9556769  0.04432304]
[0.92398757 0.07601245]
[0.8703545  0.12964557]
[0.9692241 0.0307759]
[0.929634   0.07036595]
label: not_wave, preds: not_wave(27.49823760986328)
[0.99636436 0.00363565]
[0.997331   0.00266897]
[0.9974381  0.00256188]
[0.947279   0.05272103]
[0.97301537 0.02698471]
[0.96876746 0.03123251]
[0.8871871  0.11281283]
[0.9222668 0.0777332]
[0.92568296 0.07431701]
[0.87378013 0.12621978]
[0.9042227  0.09577721]
[0.92520654 0.07479345]
[0.868069   0.13193095]
[0.91932833 0.08067163]
[0.901965   0.09803498]
[0.8724773 0.1275227]
[0.913265   0.08673498]
